id,country,city,name,lat,lon,site_status,context_type,source
SI45,Cambodia,Sihanoukville,,10.641,103.5315,confirmed,urban_area,amnesty
SI48,Cambodia,Sihanoukville,,10.6219,103.5056,confirmed,urban_area,amnesty
SI50,Cambodia,Sihanoukville,,10.6371,103.5029,confirmed,urban_area,amnesty
TD01,Cambodia,Thma Da,,12.1272,102.7382,confirmed,border_area,amnesty
TK01,Cambodia,Takeo,,11.3308,104.7495,confirmed,urban_area,amnesty
BA01,Cambodia,Bavet,,11.078,106.1698,suspected,border_area,amnesty
BA04,Cambodia,Bavet,,11.0761,106.1662,suspected,border_area,amnesty
BA07,Cambodia,Bavet,,11.068,106.1698,suspected,border_area,amnesty
BA08,Cambodia,Bavet,,11.0741,106.1702,suspected,border_area,amnesty
BA09,Cambodia,Bavet,,11.0675,106.1614,suspected,border_area,amnesty
BA10,Cambodia,Bavet,,11.0732,106.1687,suspected,border_area,amnesty
BA12,Cambodia,Bavet,,11.0656,106.1628,suspected,border_area,amnesty
CH02,Cambodia,Choam,,14.3406,104.0585,suspected,border_area,amnesty
CT06,Cambodia,Chrey Thum,,10.9596,105.0606,suspected,border_area,amnesty
CT07,Cambodia,Chrey Thum,,10.9555,105.0594,suspected,border_area,amnesty
KA03,Cambodia,Kampot,,10.6666,104.0173,suspected,border_area,amnesty
KCC01,Cambodia,Kampong Chhnang,,11.8855,104.7094,suspected,border_area,amnesty
OB01,Cambodia,Ou Beichoan,,13.7409,102.7415,suspected,border_area,amnesty
PO02,Cambodia,Poipet,,13.6525,102.5582,suspected,commercial_complex,amnesty
PO04,Cambodia,Poipet,,13.6464,102.5655,suspected,commercial_complex,amnesty
PO05,Cambodia,Poipet,,13.6461,102.5661,suspected,commercial_complex,amnesty
PO09,Cambodia,Poipet,,13.6891,102.577,suspected,commercial_complex,amnesty
PO11,Cambodia,Poipet,,13.6635,102.5555,suspected,commercial_complex,amnesty
PO17,Cambodia,Poipet,,13.6489,102.5978,suspected,commercial_complex,amnesty
PP02,Cambodia,Phnom Penh and surrounding areas,,11.453,104.8561,suspected,urban_area,amnesty
PP03,Cambodia,Phnom Penh and surrounding areas,,11.5019,104.8272,suspected,urban_area,amnesty
PP11,Cambodia,Phnom Penh and surrounding areas,,11.4107,104.6514,suspected,urban_area,amnesty
PP14,Cambodia,Phnom Penh and surrounding areas,,11.5985,104.8683,suspected,urban_area,amnesty
PP15,Cambodia,Phnom Penh and surrounding areas,,11.5868,104.8755,suspected,urban_area,amnesty
PP18,Cambodia,Phnom Penh and surrounding areas,,11.5929,104.8983,suspected,urban_area,amnesty
PP19,Cambodia,Phnom Penh and surrounding areas,,11.5702,104.8602,suspected,urban_area,amnesty
PP21,Cambodia,Phnom Penh and surrounding areas,,11.6048,104.8691,suspected,urban_area,amnesty
PP22,Cambodia,Phnom Penh and surrounding areas,,11.5264,104.8755,suspected,urban_area,amnesty
PSP02,Cambodia,Psar Prum,,12.9353,102.4927,suspected,border_area,amnesty
PSP03,Cambodia,Psar Prum,,12.9314,102.4943,suspected,border_area,amnesty
SI03,Cambodia,Sihanoukville,,10.5732,103.5579,suspected,urban_area,amnesty
SI05,Cambodia,Sihanoukville,,10.5968,103.631,suspected,urban_area,amnesty
SI07,Cambodia,Sihanoukville,,10.6101,103.535,suspected,urban_area,amnesty
SI10,Cambodia,Sihanoukville,,10.6162,103.5652,suspected,urban_area,amnesty
SI13,Cambodia,Sihanoukville,,10.6338,103.5056,suspected,urban_area,amnesty
SI14,Cambodia,Sihanoukville,,10.6322,103.5063,suspected,urban_area,amnesty
SI17,Cambodia,Sihanoukville,,10.6251,103.4982,suspected,urban_area,amnesty
SI18,Cambodia,Sihanoukville,,10.6249,103.4977,suspected,urban_area,amnesty
SI19,Cambodia,Sihanoukville,,10.6255,103.4957,suspected,urban_area,amnesty
SI23,Cambodia,Sihanoukville,,10.6151,103.5271,suspected,urban_area,amnesty
SI31,Cambodia,Sihanoukville,,10.6057,103.5286,suspected,urban_area,amnesty
SI38,Cambodia,Sihanoukville,,10.6214,103.5127,suspected,urban_area,amnesty
SI41,Cambodia,Sihanoukville,,10.6212,103.5019,suspected,urban_area,amnesty
SI43,Cambodia,Sihanoukville,,10.6046,103.5279,suspected,urban_area,amnesty
TB01,Cambodia,Trapeang Phlong,,11.673,105.9749,suspected,border_area,amnesty
